"last_name, first_name","player_id","year","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","p_era","p_opp_batting_avg","p_opp_on_base_avg","p_total_stolen_base","p_pickoff_attempt_1b","p_pickoff_attempt_2b","p_pickoff_attempt_3b","p_pickoff_1b","p_pickoff_2b","p_pickoff_3b","p_out_fly","p_out_ground","p_out_line_drive","p_passed_ball","p_swinging_strike","p_total_pickoff","p_total_pickoff_attempt","p_total_pickoff_error","barrel_batted_rate","solidcontact_percent","poorlyweak_percent","hard_hit_percent","z_swing_percent","z_swing_miss_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_percent","meatball_swing_percent","iz_contact_percent","in_zone_swing_miss","in_zone_percent","edge_percent","whiff_percent","swing_percent","pull_percent","straightaway_percent","opposite_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent","pitch_hand","arm_angle","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break_z_induced","ff_avg_break","ff_range_speed","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break_z_induced","sl_avg_break","sl_range_speed","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break_z_induced","ch_avg_break","ch_range_speed","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break_z_induced","cu_avg_break","cu_range_speed","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break_z_induced","si_avg_break","si_range_speed","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break_z_induced","fc_avg_break","fc_range_speed","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break_z_induced","fs_avg_break","fs_range_speed","n_kn_formatted","kn_avg_speed","kn_avg_spin","kn_avg_break_x","kn_avg_break_z","kn_avg_break_z_induced","kn_avg_break","kn_range_speed","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break_z_induced","st_avg_break","st_range_speed","n_sv_formatted","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z","sv_avg_break_z_induced","sv_avg_break","sv_range_speed","n_fo_formatted","fo_avg_speed","fo_avg_spin","fo_avg_break_x","fo_avg_break_z","fo_avg_break_z_induced","fo_avg_break","fo_range_speed","n_sc_formatted","sc_avg_speed","sc_avg_spin","sc_avg_break_x","sc_avg_break_z","sc_avg_break_z_induced","sc_avg_break","sc_range_speed","n_fastball_formatted","fastball_avg_speed","fastball_avg_spin","fastball_avg_break_x","fastball_avg_break_z","fastball_avg_break_z_induced","fastball_avg_break","fastball_range_speed","n_breaking_formatted","breaking_avg_speed","breaking_avg_spin","breaking_avg_break_x","breaking_avg_break_z","breaking_avg_break_z_induced","breaking_avg_break","breaking_range_speed","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_spin","offspeed_avg_break_x","offspeed_avg_break_z","offspeed_avg_break_z_induced","offspeed_avg_break","offspeed_range_speed"
"Heaney, Andrew",571760,2025,19.3,8.6,".210",".389",".290","3.15",,,"4","2","0","0","0","0","0","26","52","13","1","62","0","2","0",9.8,6.1,4.5,38.6,64.8,17.7,30.7,69.3,47.2,67.2,82.3,43,52.8,42.4,21.5,48.5,39.4,34.8,25.8,46.2,25.8,24.2,3.8,"L",24.9,"43.2","90","2366","16.7","-20.9","13.2","21.4","1.2","13.5","80","2479","-3.1","-43.9","-0.9","4.2","1.6","19.7","81.9","2119","17.9","-35.4","5.8","19","1.4","12.7","75.6","2544","-10.2","-53.6","-5.2","12","2.9","10.8","89.7","2347","19.5","-30.3","4.1","20.1","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.1","89.9","2363","17.2","-22.8","11.4","21.1","1.2","26.2","77.9","2510","-6.5","-48.6","-3","8","3.3","19.7","81.9","2119","17.9","-35.4","5.8","19","1.4"
"Bido, Osvaldo",674370,2025,14.6,9.1,".302",".541",".364","4.75",,,"9","3","0","0","0","0","0","37","31","11","0","72","0","3","1",11.4,4.7,1.3,40.9,71.1,16.1,43.2,56.8,45.5,75.3,83.6,46,54.5,41.9,22.5,50.7,38.9,35.6,25.5,31.5,38.3,23.5,6.7,"R",35.2,"40.7","94.2","2407","-10.7","-15.4","15.8","19.2","1.4","21.9","85.5","2191","5.3","-32.9","4.5","7.5","1.6","12.5","88.3","2145","-16.3","-25.4","10","19.3","1.3",,,,,,,,,"13.3","94.6","2321","-16.2","-19.6","11.2","19.8","1.2","11.6","86.6","2188","-0.2","-30.7","6","6.3","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.6","92.9","2351","-10","-18.9","13.1","17.1","3.5","21.9","85.5","2191","5.3","-32.9","4.5","7.5","1.6","12.5","88.3","2145","-16.3","-25.4","10","19.3","1.3"
"Taillon, Jameson",592791,2025,20.7,4.4,".238",".508",".272","4.53",,,"5","11","2","3","0","0","0","26","43","19","0","73","0","16","0",13.2,3.9,4.6,42.1,63.2,14,38.3,60.9,46,79.7,85.2,38,54,45.2,21.2,48.6,35.5,35.5,28.9,36.8,25,26.3,11.8,"R",45.7,"40.6","92.5","2317","-8.1","-13.9","18.3","20.2","1",,,,,,,,,"8.6","84.3","1620","-15.9","-31.4","7.3","17.7","1.2","15","79.8","2567","9.5","-52.5","-9.2","13.4","1.2","5.5","92.4","2211","-14.6","-17.7","14.5","20.6","1.2","13.7","86.2","2468","5.2","-26.9","9.8","11.5","1.4",,,,,,,,,,,,,,,,,"16.6","80.2","2693","15.6","-42.8","0","15.9","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"59.9","91","2342","-5.7","-17.2","16","18.2","3.1","31.6","80.1","2633","12.7","-47.4","-4.4","14.7","1.2","8.6","84.3","1620","-15.9","-31.4","7.3","17.7","1.2"
"Patrick, Chad",694477,2025,20.6,8,".248",".395",".310","3.19",,,"3","12","0","0","2","0","0","28","26","11","0","60","1","12","0",4.8,7.3,4,45.2,71.1,17.3,27.6,71.4,51.4,83,82.3,42,48.6,46.2,20.2,48.5,41.1,35.5,23.4,27.4,28.2,29.8,14.5,"R",35.3,"22","93.4","2315","-6.8","-14.6","16.8","18.3","1.2","5.1","84.3","2435","6.9","-35.9","2.7","7.9","1.7","5.5","87.9","1881","-11.8","-31","4.3","12.8","1.4",,,,,,,,,"21.5","93","2183","-15.3","-20.1","11.7","19.3","1.2","45.8","87.5","2366","2.9","-23.4","12.4","13.4","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89.3","90.3","2310","-3.9","-20.4","13.4","16","3.4","5.1","84.3","2435","6.9","-35.9","2.7","7.9","1.7","5.5","87.9","1881","-11.8","-31","4.3","12.8","1.4"
"Bubic, Kris",663460,2025,25.6,6.8,".223",".312",".283","1.66",,,"0","9","0","0","0","0","0","20","48","15","1","116","0","9","0",7.5,5.5,6.2,37.7,67.9,22.3,47.6,52.4,46.1,72.4,77.1,67,53.9,43.9,29.6,51.7,41.1,28.1,30.8,43.2,19.2,26.7,11,"L",37.8,"42","92.3","2404","4.9","-13.8","18.5","19.2","1.2","14.1","85.6","2433","-1.2","-35.9","1.3","2.9","1.2","18.2","85.3","1561","11.5","-37.9","-0.4","11.7","1.2",,,,,,,,,"4.7","91.6","2202","13.7","-23","9.7","16.9","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"20.9","83","2635","-13.2","-44.3","-4.3","14.1","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"46.7","92.3","2384","5.8","-14.7","17.6","19","1.2","35","84","2554","-8.4","-40.9","-2","9.6","1.9","18.2","85.3","1561","11.5","-37.9","-0.4","11.7","1.2"
"Rodón, Carlos",607074,2025,31.2,9.3,".171",".321",".248","3.29",,,"2","4","0","0","1","0","0","28","45","12","0","91","1","4","0",7,8.6,6.3,38.3,61,17.8,54.5,43.4,55.2,69.4,81.4,42,44.8,43.5,31.7,43.9,32,40.6,27.3,45.3,29.7,17.2,7.8,"L",45.2,"41.4","94.3","2317","9.8","-13","18","20.6","1.6","27.5","85.5","2640","-7.1","-39.2","-1.8","7.9","1.8","15.5","85.5","1618","11.7","-33.9","3.5","12.4","1.4","6.7","79.8","2658","-8.3","-58.2","-14.8","17.2","1.8","8.8","92.2","2283","11.5","-26.6","5.7","13.1","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.2","94","2311","10.1","-15.4","15.8","19.3","1.9","34.3","84.4","2644","-7.3","-43","-4.3","9.7","3","15.5","85.5","1618","11.7","-33.9","3.5","12.4","1.4"
"Quantrill, Cal",615698,2025,14.6,8.2,".322",".531",".380","7.00",,,"8","12","0","0","1","0","0","25","31","14","0","49","1","12","0",11.6,6.6,2.5,44.6,64,13.4,33.7,66.3,52.2,72.9,86.1,26,47.8,41.6,19.9,45.1,44.6,28.9,26.4,36.4,28.1,32.2,3.3,"R",45.4,"21.6","93","2125","-10.8","-15.2","16.4","19.8","1","8.2","84.9","2418","3.8","-37.1","0.8","4.7","1.3","0.2","86.9","1646","-11.5","-24.3","12.3","16.8",,"14.5","79.5","2474","3.6","-49.4","-6.1","7.3","2.1","10.4","92.9","2099","-15.5","-19.7","12.1","19.9","1.3","19.9","88.5","2304","2.3","-25.9","8.9","9.5","1.2","25.2","86.3","1227","-11.9","-30.5","6.4","14.1","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51.9","91.3","2188","-6.7","-20.2","12.7","15.9","2.6","22.7","81.4","2454","3.7","-45","-3.6","6.4","3.1","25.4","86.3","1229","-11.9","-30.5","6.4","14.1","1.3"
"Parker, Mitchell",680730,2025,14.8,11.1,".223",".310",".316","4.32",,,"2","2","1","0","0","0","0","34","48","14","0","75","0","3","0",3.8,8.9,4.5,43.3,71.7,14.7,36,61.3,47.5,86.5,85,45,52.5,47.9,20.4,51.2,35.7,35,29.3,42.7,26.1,21,10.2,"L",60.6,"52.8","92.6","2167","5","-13.5","18.5","19.3","1.2","10.2","85.2","2253","-4.2","-34.8","2.6","5.8","1.3",,,,,,,,,"17.1","81.3","2264","0.4","-48.6","-7.5","7.7","1.3",,,,,,,,,,,,,,,,,"19.9","84.9","941","6.8","-28.7","9.3","12.5","1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52.8","92.6","2167","5","-13.5","18.5","19.3","1.2","27.3","82.8","2260","-1.3","-43.5","-3.7","7","2.3","19.9","84.9","941","6.8","-28.7","9.3","12.5","1.1"
"Dollander, Chase",801403,2025,21.1,10.5,".258",".492",".338","6.88",,,"5","7","1","1","0","0","0","23","30","9","0","56","0","9","1",17.5,3.9,4.9,46.6,72.7,17.8,36.5,63.5,51.1,86,81.7,37,48.9,44.4,22.7,48.2,33,34,33,43.7,32,19.4,4.9,"R",28.1,"52.3","97.5","2398","-10.9","-15.7","13.1","17.1","1","0.3","86.6","2690","6.9","-36.5","-0.5","6.9","1.4","11.8","89","2071","-15.5","-29.9","4.6","16.3","1.1","18.3","78.9","2785","13.5","-51.6","-7.7","15.6","1.4",,,,,,,,,"17.3","89.1","2528","4.3","-30.1","4.1","6.4","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69.6","95.4","2431","-7.1","-19.3","10.8","14.4","4","18.6","79","2783","13.4","-51.3","-7.6","15.4","1.7","11.8","89","2071","-15.5","-29.9","4.6","16.3","1.1"
"Corbin, Patrick",571578,2025,18.5,8.3,".255",".426",".323","3.35",,,"6","11","0","0","1","0","0","28","36","7","0","53","1","11","0",7,5.3,3.5,31.6,65,12.9,47,51.8,48.9,85.3,87.1,26,51.1,47.6,22.8,46.8,47.4,33.3,19.3,37.7,32.5,23.7,6.1,"L",37.6,"6.1","91.2","2152","7.4","-17.4","15.8","17.5","1.3","35.6","79.2","2191","-2.4","-43.9","0","2.9","2.4","5.7","78.1","1024","8.8","-39","6.4","11.7","2.1","1.3","67.5","1853","-2.7","-62.9","-2.2","3.9","1.9","30.4","91","2077","15","-22.4","11","18.7","1.1","20.9","86.4","2313","-1.6","-31.1","5.5","5.9","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.3","89.4","2171","8.2","-25.1","9.5","14","2.6","36.9","78.8","2179","-2.4","-44.5","-0.1","2.9","3.3","5.7","78.1","1024","8.8","-39","6.4","11.7","2.1"
"Gallen, Zac",668678,2025,24.8,10.6,".228",".383",".312","4.59",,,"3","20","0","0","0","0","0","40","39","10","0","80","0","20","0",7.9,10,3.6,41.4,62.1,16.4,55.7,44.3,52.3,72.5,83.6,42,47.7,43.6,27.9,41.9,37.1,33.6,29.3,38.6,35,22.1,4.3,"R",40.8,"47.5","93.2","2347","-4.6","-14.2","17.4","18.1","1.4","10.5","87.5","2408","6","-32.1","3.6","7.4","1.5","12.9","86.9","1519","-12.6","-32.3","4.1","13.4","1.5","22.1","81.2","2435","6.3","-53.5","-11.8","13.5","1.4",,,,,,,,,"7","89.3","2375","3.5","-24.2","9.9","10.6","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"54.5","92.7","2351","-3.5","-15.5","16.5","17.2","2","32.7","83.2","2426","6.2","-46.6","-6.9","11.5","3.4","12.9","86.9","1519","-12.6","-32.3","4.1","13.4","1.5"
"Alcantara, Sandy",645261,2025,18.5,12.5,".269",".462",".357","8.10",,,"14","5","0","0","0","0","0","19","41","12","0","71","0","5","0",10.3,3.4,0.9,50,67.9,15.6,52.8,45.8,47.7,78.9,84.4,38,52.3,40.8,24.1,46.1,50.9,31,18.1,49.1,25,23.3,2.6,"R",31.1,"25.4","97.4","2296","-15.3","-16.3","12.9","20.1","1.5","13.7","88.8","2423","-0.2","-30.8","4","4.5","1.7","24.3","90.2","2059","-18.1","-29","4.9","18.9","1.6","13.5","85.7","2432","2.1","-38.6","-1.4","3.4","1.7","23.1","96.9","2333","-18.6","-21.4","7.9","20.3","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.5","97.2","2313","-16.9","-18.7","10.5","20.2","1.5","27.2","87.3","2428","1","-34.7","1.3","4","2.3","24.3","90.2","2059","-18.1","-29","4.9","18.9","1.6"
"Kikuchi, Yusei",579328,2025,20.4,10.4,".262",".406",".341","3.72",,,"2","14","3","0","0","0","0","31","37","15","0","75","0","17","0",10.3,4.8,4.8,39.3,64.7,15.9,41.5,58.5,45.6,67.6,83.8,46,54.4,47,22.1,46.6,38.6,37.9,23.4,41.4,27.6,22.8,8.3,"L",33.1,"38.7","94.5","2178","10.5","-15.5","15.4","18.8","1.2","36.8","87","2237","-2.1","-31.4","4.9","5.9","1.7","13.7","84.9","1494","14.1","-33.3","4.7","15","1.8","8.5","80.1","2435","-5.8","-47.1","-4.4","7.6","2","0.7","90.4","2163","14","-25.2","8.4","16.5","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"1.6","81.1","2442","-11.1","-40","2","12","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"39.4","94.4","2177","10.6","-15.7","15.3","18.7","1.4","46.8","85.5","2280","-3.1","-34.5","3.1","6.4","3.5","13.7","84.9","1494","14.1","-33.3","4.7","15","1.8"
"Anderson, Tyler",542881,2025,21,9.1,".187",".373",".263","2.58",,,"5","8","3","0","0","0","0","34","37","12","1","88","0","11","0",7.8,7.8,6.2,31,70.7,21,40,60,52.2,81.3,79,52,47.8,43,27.2,50.1,39.5,34.9,25.6,31,34.9,24,10.1,"L",56.5,"41","88.9","2177","6.1","-15.1","19.7","20.7","1.2","2.3","78.1","2278","-4.8","-43.4","1.4","5.6","1.6","34.7","77.9","1903","12.6","-32.1","13.1","18.4","1.4","0.5","69.5","2058","-2","-67.8","-10.7","11.1","1.4","1.4","88.4","2141","17.5","-26.5","8.7","19.6","1.4","20.1","84","2279","-2.5","-25.2","13.4","13.8","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62.4","87.3","2209","3.6","-18.6","17.4","18.5","2.8","2.9","76.5","2236","-4.3","-48.1","-0.9","6.6","2.5","34.7","77.9","1903","12.6","-32.1","13.1","18.4","1.4"
"Boyd, Matthew",571510,2025,23.4,6.8,".267",".401",".335","2.78",,,"1","25","0","0","3","0","0","26","31","15","1","79","3","25","0",5.4,4.7,4.7,37.2,70.8,21,37.8,62.2,49.5,77.4,78.2,55,50.5,42.7,26,50.9,41.9,31,27.1,35.7,27.9,28.7,7.8,"L",24.6,"45.7","93.2","2329","12.5","-18","13.7","18.6","1.3","20.1","81.5","2491","-3.7","-41.7","-0.6","4.3","1.5","21","79.1","1835","15.5","-38.4","5.6","16.7","1.5","8.6","74.7","2386","-13.2","-59.3","-9.8","16.7","2.2","4.6","91.7","2274","16.4","-22.9","9.8","19.2","1.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50.3","93","2324","12.9","-18.5","13.3","18.6","1.4","28.6","79.4","2459","-6.6","-47","-3.3","8","3.7","21","79.1","1835","15.5","-38.4","5.6","16.7","1.5"
"deGrom, Jacob",594798,2025,26.6,5.5,".209",".358",".256","2.72",,,"6","2","0","0","0","0","0","29","38","4","0","97","0","2","0",8.2,6,4.5,39.6,67.9,22.5,54.6,45.4,47.6,67.9,77.5,61,52.4,45.1,32.3,51.2,38.8,29.9,31.3,42.5,31.3,17.9,8.2,"R",29.9,"45.3","97","2509","-9","-12.8","16.5","18.9","1.1","40.3","89.3","2715","5.2","-32.6","1.6","5.7","1.4","9.3","89.2","1673","-13.9","-31.1","3.4","14.7","1.3","5","80","2744","10.4","-47.7","-4.7","11.5","2.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"45.3","97","2509","-9","-12.8","16.5","18.9","1.1","45.3","88.3","2718","5.7","-34.3","0.9","6.4","3.5","9.3","89.2","1673","-13.9","-31.1","3.4","14.7","1.3"
"Olson, Reese",681857,2025,24.7,9.9,".233",".321",".326","3.38",,,"3","5","1","0","0","0","0","24","42","9","0","85","0","6","0",7.8,6.1,0.9,47,63.2,15.5,59.2,40.8,57.1,85.7,84.5,30,42.9,42.3,32.2,43.9,42.6,28.7,28.7,48.7,27,21.7,2.6,"R",36.7,"13.3","94.7","2295","-9.9","-15.1","15.7","18.7","1.2","23.9","84.5","2835","4.9","-42.2","-3.8","6.5","1.2","25.8","87.7","2000","-15.1","-35.9","-0.1","15.2","1.1","5.6","79.8","2426","7","-55.8","-12.3","14.4","1.2","31.4","94.6","2161","-15.7","-19.5","11.3","19.5","1.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44.7","94.7","2201","-14","-18.2","12.6","19.2","1.2","29.5","83.6","2757","5.3","-44.8","-5.4","8","2.2","25.8","87.7","2000","-15.1","-35.9","-0.1","15.2","1.1"
"Ryan, Joe",657746,2025,30.3,2.8,".196",".363",".242","2.74",,,"5","6","0","0","1","0","0","29","25","7","0","93","1","6","0",13.2,6.1,4.4,43.9,68.5,26.3,40.7,59.3,44.4,82.3,73.3,71,55.6,45.6,30,50.4,32.5,37.7,29.8,35.1,34.2,13.2,17.5,"R",23.9,"59","93","2229","-12.5","-18.6","13.3","18.4","1.5","5.8","85.7","2349","1.8","-33.9","3.9","5.2","3.6",,,,,,,,,,,,,,,,,"6.9","92.6","2057","-17","-24.5","7.5","18.7","1.5",,,,,,,,,"13","87.1","1929","-13.9","-37.2","-0.9","14","1.6",,,,,,,,,"15.3","79.9","2792","17.6","-43.6","-0.3","17.8","1.5",,,,,,,,,,,,,,,,,,,,,,,,,"66","92.9","2211","-13","-19.2","12.7","18.4","1.5","21","81.5","2670","13.3","-41","0.9","14.3","3.8","13","87.1","1929","-13.9","-37.2","-0.9","14","1.6"
"Gray, Sonny",543243,2025,24.8,5.8,".249",".429",".299","4.50",,,"1","17","1","0","0","1","0","24","37","15","0","76","1","18","0",10.8,9.4,3.6,41,63.8,13.4,54.1,45.9,47.8,78.9,86.6,35,52.2,44.1,25.4,47.3,33.8,38.1,28.1,35.3,25.9,28.1,10.8,"R",47.3,"18.8","91.7","2516","1.3","-21.3","11.1","11.4","1","0.9","83.9","2590","4.8","-36.6","2.2","5.7","1.5","7.9","86.6","1875","-13.8","-31.1","5.6","15.2","1.5","16.5","80","2657","13.6","-58.1","-14.5","20.1","1.3","22.1","92","2388","-9.8","-23.6","8.8","13.5","1.2","11.6","88.2","2670","4.5","-31.3","3.9","6.6","1.5",,,,,,,,,,,,,,,,,"22.2","84.8","2720","16.3","-42.5","-4.1","17","1.2",,,,,,,,,,,,,,,,,,,,,,,,,"52.5","91.1","2496","-2.7","-24.5","8.6","11.2","2","39.6","82.8","2691","14.9","-48.9","-8.3","18","2.8","7.9","86.6","1875","-13.8","-31.1","5.6","15.2","1.5"
"Mikolas, Miles",571945,2025,13.7,7.7,".252",".364",".317","4.35",,,"4","10","0","0","1","0","0","36","39","8","0","38","1","10","0",10,6.2,3.1,40.8,62.3,12.2,26.9,73.1,43.8,74.2,87.3,27,56.2,44,15.6,45.6,43.1,32.3,24.6,39.2,33.8,20.8,6.2,"R",41.6,"29","92","2169","-8.7","-17.7","14.7","17.2","1.2","26.8","86.7","2238","3","-29.5","6.9","7.8","1.4","11.6","85.3","1631","-15.3","-32.2","5.5","16.4","1.6","15.7","75.2","2533","9.4","-63.7","-14.7","17.6","1.7","14.4","91.2","2088","-16.1","-24.9","8.2","18.2","1.3",,,,,,,,,,,,,,,,,,,,,,,,,"2.5","80.1","2397","14.1","-45.3","-2.2","14.5","1.4",,,,,,,,,,,,,,,,,,,,,,,,,"43.4","91.7","2142","-11.1","-20.1","12.6","17.6","1.3","45","82.3","2350","5.8","-42.3","-1.2","11.6","5.8","11.6","85.3","1631","-15.3","-32.2","5.5","16.4","1.6"
"Martinez, Nick",607259,2025,19.2,5.3,".251",".426",".290","4.23",,,"3","7","1","0","1","0","0","25","40","10","0","69","1","8","0",6.4,5.7,2.5,35,65.8,15.8,44.6,55.4,47.8,78.9,83.4,42,52.2,46.8,23.8,47.4,42.7,35,22.3,38.2,25.5,27.4,8.9,"R",58.8,"22.2","92.7","2335","-4.9","-13.9","18.1","18.8","1","13.3","84.5","2447","0.5","-37.6","0.6","2","1.2","20.7","79.1","2017","-11.6","-37.6","6.3","13.3","1.5","10.1","79.5","2566","2","-61.2","-17.4","17.6","1.2","16.3","92.4","2332","-13.1","-17.5","14.6","19.7","1.2","17.4","88.5","2375","3.2","-24.3","10.5","11.1","1.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55.8","91.3","2347","-4.8","-18.2","14.7","16.7","2.3","23.4","82.4","2498","1.2","-47.7","-7.2","8.7","2.8","20.7","79.1","2017","-11.6","-37.6","6.3","13.3","1.5"
"Wacha, Michael",608379,2025,17.4,7.5,".237",".330",".292","2.96",,,"0","5","0","0","0","0","0","26","53","17","1","69","0","5","0",5.7,5.7,5.7,34.6,70.4,16.2,34.4,65.6,47.4,84.1,83.4,47,52.6,44.9,20.7,49.2,44,32.7,23.3,44,20.8,25.8,9.4,"R",51,"32.9","93.2","2166","-6.4","-13.2","18.4","19.6","1.4","10.2","85.2","1993","4.1","-33.8","3.7","6.1","1.4","25.3","80.6","1571","-11.7","-32.7","9.5","15.9","1.3","7.4","75.6","2357","13.7","-61.3","-12.7","18.8","1.3","9.8","93.6","2067","-13","-15.7","15.7","20.5","1.4","14.4","87.9","2121","2.8","-26.2","9","9.7","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.1","91.9","2138","-5.2","-16.9","15.6","17.2","2.9","17.6","81.2","2146","8.1","-45.4","-3.2","11.4","4.7","25.3","80.6","1571","-11.7","-32.7","9.5","15.9","1.3"
"Kremer, Dean",665152,2025,15.7,6,".265",".475",".310","5.36",,,"1","11","0","0","0","0","0","35","52","11","0","63","0","11","0",10.1,8.9,2.4,39.3,65,10.2,35.9,64.1,47.9,75.9,89.5,28,52.1,43.2,17.9,48.3,37.5,38.7,23.8,40.5,29.2,21.4,8.9,"R",42.5,"26.4","93.7","2249","-8","-13","18.3","20.1","1.2","0.4","83.9","2471","2.4","-37.7","1","2.7","1.5",,,,,,,,,"17.2","79.1","2747","6","-56.6","-12.6","14.2","1.4","15.8","92.8","2215","-15.3","-19","13","20.2","1.5","24.6","87.5","2422","5.2","-29.2","6.5","8.7","1.3","15.7","83","1113","-11.6","-30.8","9","15","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"66.8","91.2","2305","-4.9","-20.4","12.7","15.9","3.4","17.5","79.2","2741","6","-56.2","-12.3","13.9","1.5","15.7","83","1113","-11.6","-30.8","9","15","1.5"
"Nola, Aaron",605400,2025,23.6,7.3,".295",".505",".356","6.16",,,"2","15","0","0","0","0","0","23","47","11","0","90","0","15","0",9.4,6,4.7,43.6,59.9,15.1,39.9,60.1,52.6,67.9,84.1,37,47.4,50.4,25,47.3,45,35.6,19.5,45,24.8,24.2,6,"R",19.2,"25.5","91.4","2302","-13.7","-18.2","14.7","20.2","1.2",,,,,,,,,"14.8","84.5","1598","-15.5","-35.4","2.9","15.8","1.2","28.6","78.1","2587","14.4","-55.2","-10","17.6","1.1","20.4","90.4","2202","-18.1","-24.7","8.9","20.3","1.4","10.7","86.3","2272","-1.2","-28.1","8.6","9","1.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56.5","90.1","2261","-12.9","-22.4","11.5","18.1","2.4","28.6","78.1","2587","14.4","-55.2","-10","17.6","1.1","14.8","84.5","1598","-15.5","-35.4","2.9","15.8","1.2"
"Megill, Tylor",656731,2025,29.5,9.7,".219",".310",".307","3.10",,,"3","10","0","0","0","0","0","12","27","16","0","65","0","10","0",5.8,5.8,7.7,45.2,59.5,21.4,43.3,56.7,51.1,61.8,78.6,44,48.9,44.2,28.7,43.8,36.5,42.3,21.2,40.4,18.3,27.9,13.5,"R",35.7,"43.1","95.4","2308","-7.2","-12.8","17.6","19.2","1.2","23.2","83.9","2531","4.5","-46.6","-7.5","9","1.4","6.6","88.3","1502","-17.2","-31.5","3.9","17.9","1.6","4.4","80.7","2541","11.1","-57.5","-14.7","18.5","1.5","22.7","94.2","2193","-16.2","-22.9","8.3","18.4","1.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"65.8","95","2268","-10.3","-16.3","14.4","18.9","1.4","27.5","83.3","2533","5.6","-48.4","-8.7","10.5","1.9","6.6","88.3","1502","-17.2","-31.5","3.9","17.9","1.6"
